origin,props
PMD,0.253837072
ANC,0.343448797
ELP,0.296574656
CAE,0.358146341
BNA,0.34071821
IMT,0.220532319
SGF,0.241114821
HTS,0.35209737
ACV,0.380037586
LNY,0.142857143
KOA,0.188715953
LMT,0.261770245
CID,0.204629972
CRP,0.24893108
CHA,0.299658266
BET,0.387102095
MFE,0.220837167
SMF,0.356053798
CAK,0.261249796
FAR,0.18828762
YUM,0.240649711
ORH,0.281647486
CPR,0.254669655
IYK,0.127496813
MVY,0.31147541
ART,0.190909091
GTF,0.201021566
PSC,0.243851072
FMN,1
OMA,0.258083024
LGB,0.256544972
ILE,0.168441815
MLU,0.300264807
SIT,0.33525715
TUS,0.288069291
ATW,0.21580756
MGM,0.293266375
SDF,0.324052687
JAC,0.314167314
ROA,0.377363099
OGG,0.220463973
CLD,0.318493151
GSO,0.348641458
MSO,0.277506464
ATL,0.442727386
PIA,0.225433172
AVL,0.355346382
SPI,0.235586207
BRD,0.105919003
ESC,0.138418079
OME,0.409799197
TLH,0.351203639
MCN,0.251713396
BWI,0.413355338
RST,0.170596475
LAN,0.196888331
SPS,0.164004044
MQT,0.161652627
CDC,0.233616505
CWA,0.20922473
FNT,0.241597839
HKY,0.263829787
ERI,0.346681637
EWN,0.238758708
SFO,0.416432488
ORD,0.430632127
JFK,0.362264784
BDL,0.328808191
MKG,0.181446112
COS,0.257205845
JAN,0.321200627
PAH,0.235294118
HHH,0.370600414
FLG,0.181844632
SYR,0.354610457
GTR,0.313278747
PLN,0.141104294
SPN,0.215556475
SNA,0.35675446
SBN,0.294765063
BUR,0.313007693
RIC,0.315006283
MFR,0.346950041
HNL,0.241205688
STX,0.233472222
GRB,0.190428175
OGD,1
INL,0.126213592
GEG,0.275162173
MAF,0.247045478
MHT,0.317233178
ABY,0.312972292
CLE,0.287376648
GPT,0.246954717
BMI,0.256817716
HDN,0.195031712
UTM,0.269230769
BUF,0.338214436
BKG,0.291900153
SCK,0.229268293
RDD,0.331262053
APN,0.19269103
CIC,0.330917874
MWH,0.023529412
DET,0.288441305
PWM,0.31068166
LWS,0.193823916
STL,0.349491079
LAS,0.40033004
HPN,0.292270531
DRO,0.217871081
SAV,0.304030295
PBI,0.335108346
SOP,0.490909091
STT,0.250695812
MHK,0.221634333
MCI,0.328101997
ADQ,0.424347279
MSN,0.214180989
ABI,0.183196085
SCE,0.138475417
SLC,0.339405961
GJT,0.22928366
EKO,0.213001997
BRW,0.383108935
PIT,0.467094616
ABR,0.194373402
IAD,0.345072533
MLB,0.255413599
GCC,0.215058611
EWR,0.384696977
BOS,0.365833308
BIL,0.226914118
AVP,0.308030159
BTV,0.314058622
PVD,0.327531405
SUX,0.177260331
BQN,0.217721519
PFN,0.337799432
RNO,0.318378659
DTW,0.34372061
BGR,0.284248726
FOE,0.105263158
KSM,0.3125
DLG,0.390707497
TUL,0.274284425
XNA,0.25844504
BPT,0.166666667
DRT,0.149700599
CIU,0.12804878
LBB,0.271855051
RDM,0.256898518
WYS,0.118193891
VLD,0.291417166
SAT,0.292713468
CEC,0.391502276
RHI,0.208121827
FAI,0.276375018
CMH,0.312863899
LIT,0.298474099
MDW,0.417687239
VPS,0.22588014
DAY,0.370488003
FAT,0.297606243
PSE,0.120962635
ISO,0.396251673
HIB,0.102209945
LCH,0.176111111
DHN,0.301877823
CMX,0.209436133
HOB,0.193779904
CVG,0.38731975
DEN,0.399560735
MYR,0.296782666
PSP,0.274921255
PSG,0.389830508
ACY,0.306360557
ANI,0.298507463
DAL,0.401044493
TVC,0.214440782
FWA,0.240736186
TUP,0.256972112
KTN,0.321462682
RFD,0.162393162
ALB,0.323262769
ELM,0.264800429
AZA,0.3125
AKN,0.393226717
ECP,0.266803969
SJT,0.173737374
BZN,0.237987136
DLH,0.188982058
GNV,0.319697923
GSP,0.290641285
OTH,0.521480502
IND,0.318733596
ILG,0.338028169
ROP,0.160792952
ROR,0.289940828
DSM,0.234340804
CLT,0.42448376
CMI,0.197274698
