"origin","Avg_Num.flights"
"1","PMD",842.5
"2","ANC",17986.4444444444
"3","ELP",22922.4814814815
"4","RDR",46
"5","CAE",7688.2962962963
"6","BNA",53752.4814814815
"7","IMT",420.5
"8","SGF",4504.07407407407
"9","HTS",1073.29411764706
"10","ACV",3116
"11","LNY",144.5
"12","KOA",5184.22222222222
"13","LMT",862.428571428571
"14","CID",6164.7037037037
"15","CRP",5886.37037037037
"16","CHA",3511.85185185185
"17","BET",920.333333333333
"18","MFE",3282.55555555556
"19","SMF",38358.6296296296
"20","CAK",4601.25925925926
"21","FAR",3460.40740740741
"22","YUM",2358.76470588235
"23","ORH",1443
"24","CPR",1970.26315789474
"25","IYK",933.272727272727
"26","ART",444.333333333333
"27","MVY",147.333333333333
"28","PSC",2025.14814814815
"29","GTF",2614.96296296296
"30","FMN",1.5
"31","LGB",8397.33333333333
"32","OMA",19283.5555555556
"33","ILE",3456.75
"34","MLU",2355.85185185185
"35","SIT",1297.7037037037
"36","TUS",19317.1481481481
"37","ATW",3111.06666666667
"38","MGM",2962.8
"39","JAC",2291.07407407407
"40","SDF",20290.2962962963
"41","OGG",10115.1481481481
"42","ROA",3279.53846153846
"43","CLD",2307.45454545455
"44","GSO",16060.7777777778
"45","MSO",2670.92592592593
"46","ATL",300688.407407407
"47","PIA",2720.25
"48","AVL",3006.37037037037
"49","SPI",1164.15384615385
"50","BRD",538
"51","ESC",445
"52","OME",988.518518518518
"53","TLH",4751.88888888889
"54","MCN",1029.14285714286
"55","BWI",82684.5925925926
"56","RST",2619.40740740741
"57","CWA",1779.27272727273
"58","LAN",2981.59259259259
"59","CDC",704.6
"60","MQT",755
"61","SPS",1612.69230769231
"62","FNT",2980.37037037037
"63","HKY",324
"64","ERI",1301.28
"65","EWN",875.428571428571
"66","SFO",129479.148148148
"67","BDL",28316.0740740741
"68","ORD",302086.555555556
"69","JFK",68969.7777777778
"70","MKG",659.6
"71","JAN",9028.11111111111
"72","COS",12124.0740740741
"73","PAH",709.75
"74","HHH",916.5
"75","FLG",1965.71428571429
"76","SYR",14094.1111111111
"77","GTR",1080.90909090909
"78","PLN",388.833333333333
"79","SPN",850.25
"80","SBN",3191.85185185185
"81","BUR",26377.1111111111
"82","SNA",38166.5185185185
"83","MFR",2771.55555555556
"84","RIC",16471.7407407407
"85","HNL",28891.1111111111
"86","STX",1146.44444444444
"87","GRB",4253.44444444444
"88","INL",276.25
"89","OGD",2
"90","GEG",11855.8518518519
"91","MAF",7257.96296296296
"92","MHT",11095.4444444444
"93","ABY",1191
"94","CLE",61864.037037037
"95","GPT",3694
"96","BMI",3198.84615384615
"97","HDN",966.814814814815
"98","UTM",104
"99","BUF",22500.2592592593
"100","BKG",1158.2
"101","APN",415
"102","MWH",337.5
"103","DET",4425
"104","PWM",7195.51851851852
"105","DRO",1333.5
"106","SAV",8760.92592592593
"107","PBI",24243.4444444444
"108","SOP",159.5
"109","STT",2831.55555555556
"110","MHK",1264.8
"111","MCI",52747.2592592593
"112","ABI",2455.64285714286
