origin,props,mean.wait
PMD,0.187462327,5.762206148
ANC,0.347066328,6.818853729
ELP,0.334158617,6.289831088
RDR,0.065217391,-1.326086957
CAE,0.394343747,9.033171637
BNA,0.379705455,7.404857428
IMT,0.248768473,4.594827586
SGF,0.277177223,8.370686155
HTS,0.380360472,4.609921464
ACV,0.382450246,14.61344017
LNY,0.083333333,-4.503623188
KOA,0.223665566,1.398449244
LMT,0.291113381,11.74668029
CID,0.255421431,6.062837476
CRP,0.279739331,5.723535017
CHA,0.321027027,5.945967568
BET,0.383632249,7.996186725
MFE,0.261250143,4.514912581
SMF,0.381307702,7.091031765
CAK,0.299275952,7.282165076
FAR,0.233908638,4.542621549
YUM,0.242761975,2.866764609
ORH,0.312,4.36962963
CPR,0.275319033,3.626120011
IYK,0.142206938,-1.506422575
MVY,0.468384075,23.27868852
ART,0.245297806,12.54623824
GTF,0.216348232,2.707587678
PSC,0.274227645,2.424433483
FMN,1,203.6666667
OMA,0.304425368,6.406783786
LGB,0.291983246,4.758433593
ILE,0.174307796,1.295715465
MLU,0.329421183,7.698679049
SIT,0.328101926,8.166642537
TUS,0.319602171,5.138802837
ATW,0.264125621,7.424238357
MGM,0.325465137,7.919766433
JAC,0.353665389,7.045445531
SDF,0.35827855,7.201962927
OGG,0.259280603,2.483093768
ROA,0.388541616,7.489723695
CLD,0.308063932,3.696324329
GSO,0.380135311,7.325311397
MSO,0.295621465,3.777738695
ATL,0.491906439,10.2737575
PIA,0.276633042,7.206562445
AVL,0.367404991,7.997484134
SPI,0.26742889,9.629531511
BRD,0.203050524,-0.775023832
ESC,0.131919906,1.426383981
OME,0.407010711,9.416630964
TLH,0.390411068,6.940013644
MCN,0.292576419,12.6573508
BWI,0.457343206,9.353145198
RST,0.198482169,3.200589449
SPS,0.192479413,2.72616331
MQT,0.227474619,7.616857022
LAN,0.242156951,4.45627508
CWA,0.276404974,8.807333084
CDC,0.225592143,1.367995378
FNT,0.293156023,5.705237053
HKY,0.280645161,8.398387097
ERI,0.387147832,4.469610636
EWN,0.285430134,8.481352561
SFO,0.443773395,10.29232728
ORD,0.488919807,11.87000809
BDL,0.366852872,6.064493255
JFK,0.431172335,11.40542826
MKG,0.260141661,5.173213136
JAN,0.357907323,6.926690469
COS,0.301758497,5.524083902
PAH,0.260029176,5.776440554
HHH,0.3716916,19.7698504
FLG,0.192754173,2.358573596
SYR,0.397334493,6.669252165
GTR,0.315638824,10.51929916
PLN,0.205619982,6.520963426
SPN,0.223363545,2.472406848
SNA,0.379041711,5.823034735
BUR,0.333454877,6.441823333
SBN,0.331786793,7.007289119
RIC,0.349387321,6.937158615
MFR,0.364804637,10.57009269
HNL,0.278287778,3.326355279
STX,0.278862883,4.397498605
GRB,0.228368667,4.925413223
INL,0.180094787,2.509004739
OGD,0.833333333,143.6666667
GEG,0.305106223,5.600729325
MAF,0.274262585,5.552707215
MHT,0.345966743,7.762175292
ABY,0.311603855,9.379142835
CLE,0.332380966,6.365825176
GPT,0.28437817,7.393186938
BMI,0.29769523,9.350114989
HDN,0.29478565,8.632637825
UTM,0.362745098,3.632352941
BUF,0.383418015,7.607762711
BKG,0.318467996,5.106330885
APN,0.254342432,1.563275434
MWH,0.049773756,-2.889894419
DET,0.30940499,7.06925144
PWM,0.347020177,7.852732323
DRO,0.260543857,4.895151301
SAV,0.341306129,7.442720959
PBI,0.401047687,7.938198844
SOP,0.573289902,25.24104235
STT,0.306378464,6.101524997
SLC,0.397010862,6.192603346
ABR,0.231981982,1.812312312
MLB,0.295961707,5.5573114
GCC,0.229120038,2.259747909
EWR,0.439712002,11.71744678
BOS,0.403186919,8.884560412
BIL,0.255273061,2.860513997
BQN,0.285651103,4.23832691
RNO,0.359085314,7.322753028
BGR,0.323528913,7.755771547
KSM,0.300236407,5.85106383
BPT,0.201180258,3.462875536
