origin,props,mean.wait
PMD,0.067826087,0.833043478
ANC,0.248567177,3.403463573
ELP,0.314787974,5.599480952
CAE,0.380503885,7.984547916
BNA,0.363007585,6.786018242
IMT,0.162162162,-0.954954955
SGF,0.273617107,8.013552856
HTS,0.357526882,2.75436828
ACV,0.322782827,10.07113757
LNY,0.033898305,-1.915254237
KOA,0.210382514,0.99259651
LMT,0.243875278,7.646993318
CID,0.22031122,4.548209366
CRP,0.27385684,5.696700752
CHA,0.302853479,5.075280539
BET,0.286643322,3.4012006
MFE,0.234799972,4.074364801
SMF,0.357002921,5.800505613
CAK,0.251949198,4.728534301
YUM,0.183906364,0.544403804
FAR,0.170553238,2.206113657
ORH,0.297159813,4.022891056
CPR,0.225108225,2.122597403
IYK,0.103365385,-3.324519231
MVY,0.459459459,29.10810811
ART,0.252475248,8.826732673
PSC,0.214364763,-0.122067286
GTF,0.140350877,2.853634085
FMN,1,185.5
OMA,0.268298614,5.335147466
LGB,0.255404861,2.807654089
ILE,0.149038462,-0.475221893
MLU,0.307476545,6.190830835
SIT,0.274927396,4.305517909
TUS,0.320088476,4.561585734
ATW,0.215275961,4.784462464
MGM,0.299080007,7.187448661
SDF,0.345201925,6.387982081
JAC,0.219961095,0.27786922
OGG,0.255493559,2.279924686
ROA,0.371885119,6.400816556
CLD,0.28042328,2.495189995
GSO,0.376477162,6.564436374
MSO,0.202641206,0.864459713
ATL,0.464663594,8.617225133
PIA,0.245065634,6.033903107
AVL,0.326052572,6.087444453
SPI,0.241582492,7.706649832
BRD,0.14379085,-1.908496732
ESC,0.038461538,-7.048076923
OME,0.336783823,6.050794415
TLH,0.382559369,5.887991539
MCN,0.264755481,10.26306914
BWI,0.440702596,8.242472861
RST,0.16578376,1.903864525
CWA,0.237937872,7.010575017
LAN,0.206569901,3.038808251
CDC,0.170107349,-1.126341866
SPS,0.18308656,2.67881549
MQT,0.193720775,6.296593186
FNT,0.24886946,3.329213144
HKY,0.258064516,10.20967742
ERI,0.32731377,1.948645598
EWN,0.252,5.483
SFO,0.405211275,8.102088331
BDL,0.334179876,4.686312287
ORD,0.455310721,10.85991338
JFK,0.390667032,9.035597701
MKG,0.286415712,7.130932897
JAN,0.340661003,6.200368064
COS,0.26704749,4.286427992
PAH,0.305555556,11.32051282
HHH,0.350453172,13.95166163
FLG,0.16793722,1.561883408
SYR,0.359938406,5.202842294
GTR,0.26748341,7.948443083
PLN,0.138643068,0.654867257
SPN,0.184802432,0.574468085
SNA,0.357133512,4.785215581
BUR,0.311799312,5.145683376
SBN,0.285833973,5.50848286
RIC,0.337531276,6.244592716
MFR,0.306122449,7.156047785
HNL,0.271959903,3.081212459
STX,0.257125155,2.975629905
GRB,0.182331737,3.231021682
INL,0.104761905,-4.123809524
GEG,0.236976878,3.317007453
MAF,0.2626509,5.423477106
MHT,0.308536685,6.080082429
ABY,0.271249419,7.411518811
CLE,0.298291043,5.105094593
GPT,0.275253102,6.643982644
BMI,0.252780586,6.809764553
JAX,0.351389643,6.369817014
HDN,0.15755627,0.139549839
UTM,0.285714286,8.828571429
BUF,0.34677718,6.148012453
BKG,0.288861689,3.686658507
LAR,0.252173913,5.686956522
SCK,0.16779661,1.162711864
RDD,0.325810553,9.311824539
APN,0.352380952,4.419047619
CIC,0.321944809,9.554971529
MWH,0.029411765,-4.843137255
DET,0.282833021,6.322467167
PWM,0.28719157,5.123928268
LWS,0.166666667,-2.968063872
STL,0.374726828,7.621835799
LAS,0.403481725,7.583614633
DRO,0.192110384,1.950468778
HPN,0.299298519,6.428328491
SAV,0.358921317,7.493806545
PBI,0.397862506,6.954832826
SOP,0.545454545,19.43181818
STT,0.287913083,3.816734571
