origin,props
PMD,0.182989691
ANC,0.385377299
ELP,0.350555176
RDR,0.065217391
CAE,0.434432553
BNA,0.40441134
IMT,0.228915663
SGF,0.295274425
HTS,0.416827387
ACV,0.416906725
LNY,0.066666667
KOA,0.219503142
LMT,0.281699794
CID,0.262614404
CRP,0.28597814
CHA,0.35291822
BET,0.406829749
MFE,0.262427128
SMF,0.392841018
CAK,0.334762554
FAR,0.243832781
YUM,0.225066383
ORH,0.280958307
CPR,0.282482904
IYK,0.143023256
MVY,0.498480243
ART,0.252427184
PSC,0.267352547
GTF,0.233380398
OMA,0.322701476
LGB,0.315585248
ILE,0.186406068
MLU,0.357688933
SIT,0.323420381
TUS,0.301697186
ATW,0.264188034
MGM,0.371884565
SDF,0.378323956
JAC,0.3294581
ROA,0.406260616
OGG,0.25891825
CLD,0.309806371
GSO,0.401559009
MSO,0.328121908
ATL,0.540454162
PIA,0.288066903
AVL,0.441389092
SPI,0.264491777
BRD,0.253164557
ESC,0.109589041
OME,0.417120106
TLH,0.412334939
MCN,0.320132013
BWI,0.509863352
RST,0.199200685
LAN,0.238801422
SPS,0.228679245
MQT,0.238076468
CDC,0.216953171
CWA,0.283373301
FNT,0.298856522
HKY,0.313807531
ERI,0.394870493
EWN,0.354855923
SFO,0.469393854
BDL,0.378528588
ORD,0.518831259
JFK,0.497197948
MKG,0.28358209
COS,0.338440534
JAN,0.405792056
PAH,0.277464789
HHH,0.422945205
FLG,0.218238283
SYR,0.407239917
GTR,0.350320741
SPN,0.27594019
PLN,0.209359606
SNA,0.400373662
SBN,0.335741606
BUR,0.326955084
RIC,0.381189369
MFR,0.38503613
HNL,0.2833445
STX,0.296987088
GRB,0.240568502
OGD,1
INL,0.181360202
GEG,0.328687351
MAF,0.285087452
MHT,0.369100704
ABY,0.336214881
CLE,0.354028702
GPT,0.316547129
BMI,0.309732806
JAX,0.380315284
HDN,0.204470502
UTM,0.384615385
BUF,0.410310319
BKG,0.356396217
LAR,0.162011173
SCK,0.176931691
RDD,0.348557193
APN,0.363013699
CIC,0.345165945
MWH,0.047368421
DET,0.320879703
PWM,0.405812017
LWS,0.228484848
STL,0.419716548
LAS,0.455581882
HPN,0.365773157
DRO,0.293549803
SAV,0.374942133
PBI,0.381233214
SOP,0.671428571
STT,0.315672306
MHK,0.312217195
MCI,0.38849774
MSN,0.261099155
ADQ,0.466041489
ABI,0.241354639
SCE,0.201188843
GJT,0.270867848
SLC,0.420733941
EKO,0.209216211
BRW,0.468075437
PIT,0.540952269
ABR,0.222527473
IAD,0.444093404
MLB,0.298794377
GCC,0.215077605
EWR,0.487023399
BOS,0.439931975
BIL,0.293198127
AVP,0.367165474
BTV,0.393343377
PVD,0.392592201
SUX,0.179076539
PFN,0.41290407
BQN,0.34817235
RNO,0.360339718
DTW,0.436927164
BGR,0.393326357
KSM,0.281818182
TUL,0.330982793
DLG,0.466691617
XNA,0.325278327
BPT,0.237165889
DRT,0.244604317
CIU,0.268292683
LBB,0.306550762
RDM,0.267769998
WYS,0.145139206
VLD,0.332037577
SAT,0.335374664
CEC,0.467323841
RHI,0.350119904
CMH,0.37686124
MDW,0.502437046
LIT,0.370026945
FAI,0.306012991
BFF,1
VPS,0.329640347
DAY,0.399763281
FAT,0.319299008
PSE,0.267459907
ISO,0.433846154
HIB,0.083870968
LCH,0.223483871
DHN,0.351001178
CMX,0.291060291
HOB,0.207058824
DEN,0.500563219
CVG,0.465196906
MYR,0.356023714
PSP,0.261021193
PSG,0.513951979
ACY,0.37007874
ANI,0.243243243
DAL,0.440389419
TVC,0.353145199
FWA,0.292453956
TUP,0.387211368
KTN,0.340868682
RFD,0.265463918
ALB,0.399621255
ELM,0.344987419
AKN,0.423564065
ECP,0.374371069
SJT,0.239470042
BZN,0.291926692
GNV,0.372665259
DLH,0.287520568
GSP,0.342764468
OTH,0.561340515
IND,0.36866521
ILG,0.36239782
ROP,0.142091153
ROR,0.327659574
DSM,0.292706978
CLT,0.526926219
CMI,0.239523952
PIE,0.218453189
GRK,0.322240348
BQK,0.326897019
CCR,0.212525667
DAB,0.391103559
SRQ,0.301574689
FSM,0.252127808
JNU,0.404181635
LNK,0.328440833
ADK,0.529411765
GRI,0.249492901
SGU,0.249236894
ISN,0.235404896
LEX,0.358689292
PIH,0.150908673
MEI,0.379477251
LFT,0.302176153
AZO,0.233359568
GCN,0.235428571
BFL,0.25750317
GST,0.396741735
MSY,0.351548289
FCA,0.320477628
LSE,0.226921039
YKM,0.369294606
MIA,0.468803105
SEA,0.453410673
RKS,0.224246932
PHL,0.514831522
COD,0.267177459
SMX,0.208622184
SLE,0.256410256
CYS,0.454545455
EYW,0.402802893
ABE,0.327015032
DUT,0.514409222
YAP,0.5
MEM,0.352594269
TXK,0.210722264
TWF,0.185079225
CHO,0.330010735
RDU,0.406447083
EGE,0.177590512
AEX,0.301396745
UCA,0.482656095
LAW,0.204132974
VIS,0.118
DFW,0.51936932
PPG,0.269230769
PUB,0.089085546
TYR,0.219326666
RSW,0.319235838
ACK,0.454414932
SAF,0.371232152
DCA,0.376062176
HLN,0.284561478
BJI,0.227963526
CRW,0.437470702
HVN,0.449466734
LYH,0.323005698
GCK,0.27173913
BGM,0.339917453
GRR,0.324180691
YAK,0.35358523
PHX,0.438696616
FAY,0.368470843
BOI,0.32366459
SBA,0.311749167
LIH,0.19490923
GGG,0.206809584
GUM,0.343950906
VCT,0.154598826
LRD,0.293430657
DBQ,0.246390458
CHS,0.384252815
TPA,0.386747648
COU,0.397606383
ITH,0.270388833
BHM,0.388921486
MRY,0.337342378
ITO,0.195801245
EAU,0.236268527
OAK,0.429324897
DIK,0.253012048
PHF,0.396315569
LWB,0.396997498
TRI,0.371160355
AMA,0.319934741
ACT,0.218491124
SAN,0.409820576
BTM,0.215514959
IPL,0.25142315
PNS,0.392209549
SJC,0.362810615
EFD,0.122666667
HOU,0.454172682
LAX,0.456158742
BTR,0.384940258
SBP,0.284451441
OXR,0.203546361
ABQ,0.38256248
TVL,0.342068966
TYS,0.342665359
MOB,0.397585897
ILM,0.395924829
TOL,0.342374447
GFK,0.147983769
TTN,0.362612613
BIS,0.231249264
MSP,0.40278376
SJU,0.387819149
MTJ,0.276810266
ORF,0.435871893
RAP,0.281932956
MLI,0.284113527
MKK,0.095890411
PDX,0.382974561
ALO,0.218707015
ROW,0.292540793
EUG,0.333885444
AUS,0.344513907
SCC,0.334338106
FLO,0.378241619
EVV,0.326525903
FLL,0.421342113
SUN,0.227139969
ICT,0.286474494
CSG,0.394954264
CDV,0.368952461
PVU,0
SWF,0.352658983
IAH,0.459848813
APF,0.315245478
MCO,0.426534698
MKE,0.336868914
IDA,0.23454142
FSD,0.26331775
HSV,0.30292201
MOD,0.409784654
AGS,0.40061074
SHV,0.339882071
ASE,0.296950241
MTH,0.571428571
BRO,0.261265294
MDT,0.302069599
ONT,0.34429947
OKC,0.334022404
WRG,0.410869565
JLN,0.273480663
BLI,0.312572088
MBS,0.2356466
OTZ,0.398499434
OAJ,0.413043478
HRL,0.287724225
GUC,0.296178344
ISP,0.418098985
MOT,0.226356589
ROC,0.380078077
LGA,0.415514902
CLL,0.208728943
