origin,props,mean.wait
PMD,0.182989691,4.532216495
ANC,0.385377299,7.660743336
ELP,0.350555176,6.628985248
RDR,0.065217391,-1.326086957
CAE,0.434432553,11.01930723
BNA,0.40441134,8.745103325
IMT,0.228915663,-0.15060241
SGF,0.295274425,9.118386004
HTS,0.416827387,6.361861138
ACV,0.416906725,16.53958478
LNY,0.066666667,-4.826666667
KOA,0.219503142,2.072089509
LMT,0.281699794,10.24468814
CID,0.262614404,6.309621927
CRP,0.28597814,6.53901427
CHA,0.35291822,7.842728298
BET,0.406829749,8.447381382
MFE,0.262427128,5.41457879
SMF,0.392841018,6.941977395
CAK,0.334762554,9.334405249
YUM,0.225066383,2.658629846
FAR,0.243832781,4.554221854
ORH,0.280958307,4.340385812
CPR,0.282482904,3.385586533
IYK,0.143023256,-1.092635659
MVY,0.498480243,25.30699088
ART,0.252427184,11.2394822
PSC,0.267352547,1.611302938
GTF,0.233380398,3.79497588
OMA,0.322701476,7.238161633
LGB,0.315585248,5.424773088
ILE,0.186406068,2.606476079
MLU,0.357688933,9.643940343
SIT,0.323420381,6.439410166
TUS,0.301697186,4.978841
ATW,0.264188034,7.518376068
MGM,0.371884565,9.926705291
SDF,0.378323956,8.684905715
JAC,0.3294581,4.813893898
OGG,0.25891825,2.715364006
ROA,0.406260616,8.867216695
CLD,0.309806371,3.006870706
GSO,0.401559009,8.821265269
MSO,0.328121908,4.267168019
ATL,0.540454162,13.25764715
PIA,0.288066903,7.4578321
AVL,0.441389092,11.07412152
SPI,0.264491777,8.973577784
BRD,0.253164557,1.037974684
ESC,0.109589041,-4.232876712
OME,0.417120106,9.688785667
TLH,0.412334939,8.202050645
MCN,0.320132013,14.85588559
BWI,0.509863352,13.08830149
RST,0.199200685,3.632543534
CWA,0.283373301,8.209032774
LAN,0.238801422,3.997714576
CDC,0.216953171,0.658565501
SPS,0.228679245,4.516226415
MQT,0.238076468,7.222309815
FNT,0.298856522,6.644073058
HKY,0.313807531,11.58158996
ERI,0.394870493,4.827704418
EWN,0.354855923,13.36446105
SFO,0.469393854,10.85762532
ORD,0.518831259,13.80529695
JFK,0.497197948,15.83974673
BDL,0.378528588,7.82691391
MKG,0.28358209,5.501066098
COS,0.338440534,6.670918129
JAN,0.405792056,9.081277767
PAH,0.277464789,5.308450704
HHH,0.422945205,22.21575342
FLG,0.218238283,3.525832863
SYR,0.407239917,8.14558622
GTR,0.350320741,13.70527441
PLN,0.209359606,5.632183908
SPN,0.27594019,4.713185319
BUR,0.326955084,5.854578137
SNA,0.400373662,6.144760965
SBN,0.335741606,7.543183643
RIC,0.381189369,9.198510585
MFR,0.38503613,10.18070052
HNL,0.2833445,3.668083275
STX,0.296987088,4.884178949
GRB,0.240568502,5.343435399
INL,0.181360202,5.057934509
OGD,1,172
GEG,0.328687351,5.391670644
MAF,0.285087452,6.141304569
MHT,0.369100704,10.11839833
ABY,0.336214881,11.16918802
CLE,0.354028702,7.947815353
GPT,0.316547129,9.437153467
BMI,0.309732806,10.10041478
JAX,0.380315284,8.58393167
HDN,0.204470502,1.855258336
UTM,0.384615385,1.5
BUF,0.410310319,9.322001773
BKG,0.356396217,6.757093081
LAR,0.162011173,6.173184358
SCK,0.176931691,1.773796193
RDD,0.348557193,12.11064978
APN,0.363013699,2.760273973
CIC,0.345165945,12.57979798
MWH,0.047368421,-4.357894737
DET,0.320879703,6.609565448
PWM,0.405812017,10.8553545
LWS,0.228484848,-0.377575758
STL,0.419716548,9.107260574
LAS,0.455581882,10.15930329
DRO,0.293549803,5.940434401
HPN,0.365773157,10.76049697
SAV,0.374942133,9.019906091
PBI,0.381233214,8.376520831
SOP,0.671428571,37.64285714
STT,0.315672306,7.261743099
MHK,0.312217195,8.595992243
MCI,0.38849774,8.016519057
MSN,0.261099155,6.533955045
ABI,0.241354639,5.706296208
ADQ,0.466041489,9.695083831
SCE,0.201188843,3.809785094
GJT,0.270867848,5.377023066
SLC,0.420733941,6.369574021
EKO,0.209216211,0.206953302
BRW,0.468075437,13.84344467
PIT,0.540952269,10.2932002
ABR,0.222527473,-0.288461538
IAD,0.444093404,13.70228249
GCC,0.215077605,1.192904656
MLB,0.298794377,5.999222179
EWR,0.487023399,15.11631504
BOS,0.439931975,11.4970884
BIL,0.293198127,3.402957922
AVP,0.367165474,7.677148847
BTV,0.393343377,10.33961053
PVD,0.392592201,9.641810325
SUX,0.179076539,2.551372712
PFN,0.41290407,14.68996205
BQN,0.34817235,7.658974883
RNO,0.360339718,6.783824893
DTW,0.436927164,10.67723895
BGR,0.393326357,10.58132775
KSM,0.281818182,7.5
TUL,0.330982793,7.136675348
XNA,0.325278327,11.59023515
DLG,0.466691617,11.70770958
BPT,0.237165889,5.917267713
DRT,0.244604317,7.647482014
CIU,0.268292683,5.932926829
LBB,0.306550762,6.518215417
RDM,0.267769998,3.847231063
WYS,0.145139206,-2.420356002
VLD,0.332037577,12.72432783
SAT,0.335374664,6.422571058
CEC,0.467323841,24.08324206
RHI,0.350119904,4.721822542
CMH,0.37686124,9.126178785
MDW,0.502437046,13.56717146
LIT,0.370026945,8.543643982
FAI,0.306012991,5.855779856
BFF,1,131
VPS,0.329640347,10.70913601
DAY,0.399763281,7.659525652
FAT,0.319299008,6.048030189
