"origin","flights"
"ABE",141028
"ABI",34379
"ABQ",922649
"ABR",1362
"ABY",13101
"ACK",3463
"ACT",25900
"ACV",40508
"ACY",10902
"ADK",1109
"ADQ",13631
"AEX",34833
"AGS",70273
"AKN",6404
"ALB",346607
"ALO",3192
"AMA",167868
"ANC",485634
"ANI",475
"APF",4074
"APN",830
"ART",1333
"ASE",37253
"ATL",8118587
"ATW",46666
"AUS",1021581
"AVL",81172
"AVP",56549
"AZA",131
"AZO",75127
"BDL",764534
"BET",24849
"BFF",1
"BFI",1
"BFL",54880
"BGM",29001
"BGR",60805
"BHM",501348
"BIL",110374
"BIS",65429
"BJI",1679
"BKG",5791
"BLI",9919
"BMI",41585
"BNA",1451317
"BOI",300982
"BOS",2839543
"BPT",9623
"BQK",11859
"BQN",15972
"BRD",1076
"BRO",26754
"BRW",17179
"BTM",14780
"BTR",192472
"BTV",137160
"BUF",607507
"BUR",712182
"BWI",2232484
"BZN",91023
"CAE",207584
"CAK",124234
"CCR",4465
"CDC",7046
"CDV",18750
"CEC",11410
"CHA",94820
"CHO",26936
"CHS",291233
"CIC",13856
"CID",166447
"CIU",673
"CKB",8
"CLD",25382
"CLE",1670329
"CLL",26832
"CLT",3202243
"CMH",904370
"CMI",40085
"CMX",3858
"COD",11961
"COS",327350
"COU",2396
"CPR",37435
"CRP",158932
"CRW",80030
"CSG",27939
"CVG",2124548
"CWA",19572
"CYS",757
"DAB",96430
"DAL",1183858
"DAY",446451
"DBQ",12941
"DCA",2209466
"DEN",4498251
"DET",26550
"DFW",7062947
"DHN",17393
"DIK",810
"DLG",5322
"DLH",45519
"DRO",34671
"DRT",547
"DSM",290611
"DTW",3637944
"DUT",6336
"EAU",5303
"ECP",20851
"EFD",3633
"EGE",34186
"EKO",19073
"ELM",30342
"ELP",618907
"ERI",32532
"ESC",890
"EUG",98718
"EVV",69401
"EWN",6128
"EWR",3292697
"EYW",28049
"FAI",121918
"FAR",93431
"FAT",195865
"FAY",61034
"FCA",43947
"FLG",27520
"FLL",1336657
"FLO",6045
"FMN",3
"FNT",80470
"FOE",57
"FSD",133203
"FSM",28723
"FWA",102463
"GCC",8690
"GCK",1272
"GCN",6051
"GEG",320108
"GFK",32519
"GGG",12603
"GJT",60959
"GLH",2
"GNV",49391
"GPT",77574
"GRB",114843
"GRI",1736
"GRK",37552
"GRR",302304
"GSO",433641
"GSP",249233
"GST",2259
"GTF",70604
"GTR",11890
"GUC",11687
"GUM",15911
"HDN",26104
"HHH",1833
"HIB",927
"HKY",648
"HLN",34925
"HNL",780060
"HOB",1501
"HOU",1476810
"HPN",172873
"HRL",139475
"HSV",206538
"HTS",18246
"HVN",7365
"IAD",1707333
"IAH",3784225
"ICT",268109
"IDA",50267
"ILE",13827
"ILG",1143
"ILM",77066
"IMT",841
"IND",990036
"INL",1105
"IPL",8759
"ISN",2437
"ISO",5945
"ISP",193866
"ITH",20630
"ITO",72371
"IYK",10266
"JAC",61859
"JAN",243759
"JAX",655468
"JFK",1862184
"JLN",1397
"JNU",110130
"KOA",139974
"KSM",467
"KTN",63540
"LAN",80503
"LAR",843
"LAS",3357823
"LAW",21852
"LAX",5140786
"LBB",211917
"LCH",15048
"LEX",171040
"LFT",65956
"LGA",2801992
"LGB",226728
"LIH",134685
"LIT",415765
"LMT",6037
"LNK",78216
"LNY",289
"LRD",30585
"LSE",37796
"LWB",2820
"LWS",6119
"LYH",11283
"MAF",195965
"MAZ",149
"MBS",87948
"MCI",1424176
"MCN",7204
"MCO",2569852
"MDT",198014
"MDW",1602253
"MEI",8838
"MEM",1473731
"MFE",88629
"MFR",74832
"MGM",74070
"MHK",6324
"MHT",299577
"MIA",1819307
"MIB",89
"MKC",1
"MKE",652821
"MKG",3298
"MKK",289
"MLB",75119
"MLI",108203
"MLU",63608
"MMH",915
"MOB",150664
"MOD",19155
"MOT",37063
"MQT",9815
"MRY",96530
"MSN",200992
"MSO",72115
"MSP",3362561
"MSY",1149318
"MTH",128
"MTJ",26862
"MVY",442
"MWH",675
"MYR",102523
"OAJ",19760
"OAK",1393151
"OGD",6
"OGG",273109
"OKC",593505
"OMA",520656
"OME",26690
"ONT",891915
"ORD",8156337
"ORF",510146
"ORH",14430
"OTH",5808
"OTZ",26038
"OXR",11111
"PAH",2839
"PBI",654573
"PDX",1319688
"PFN",31281
"PHF",65252
"PHL",2592651
"PHX",4404913
"PIA",65286
"PIE",6587
"PIH",17091
"PIR",15
"PIT",2242405
"PLN",2333
"PMD",3370
"PNS",206301
"PPG",106
"PSC",54679
"PSE",6790
"PSG",18598
"PSP",203449
"PUB",6843
"PVD",526196
"PVU",2
"PWM",194279
"RAP",78384
"RDD",19430
"RDM",36431
"RDR",46
"RDU",1273779
"RFD",1703
"RHI",1521
"RIC",444737
"RKS",10699
"RNO",607733
"ROA",85268
"ROC",425320
"ROP",1958
"ROR",2228
"ROW",6822
"RST",70724
"RSW",533514
"SAF",6073
"SAN",1938636
"SAT",1004129
"SAV",236545
"SBA",174075
"SBN",86180
"SBP",64906
"SCC",15135
"SCE",9368
"SCK",3717
"SDF",547838
"SEA",2487038
"SFO",3495937
"SGF",121610
"SGU",30217
"SHD",60
"SHV",157539
"SIT",35038
"SJC",1319344
"SJT",20511
"SJU",577693
"SLC",2602021
"SLE",884
"SMF",1035683
"SMX",18364
"SNA",1030496
"SOP",319
"SPI",15134
"SPN",10203
"SPS",20965
"SRQ",193375
"STL",2995864
"STT",76452
"STX",30954
"SUN",28720
"SUX",19434
"SWF",66223
"SYR",380541
"TEX",1203
"TLH",128301
"TOL",61519
"TPA",1662431
"TRI",63060
"TTN",2876
"TUL",569672
"TUP",1972
"TUS",521563
"TVC",52953
"TVL",3314
"TWF",19028
"TXK",17381
"TYR",28512
"TYS",262061
"UCA",4639
"UTM",208
"VCT",2445
"VIS",1993
"VLD",12502
"VPS",91423
"WRG",18665
"WYS",2991
"XNA",153610
"YAK",18616
"YAP",709
"YKM",1863
"YUM",40099
