origin,win.props,mean.wait
PMD,0.201785714,7.286607143
ANC,0.357928753,8.318237463
ELP,0.359899675,7.340192207
CAE,0.39881255,9.956016511
BNA,0.399445702,8.239136255
IMT,0.323529412,9.095588235
SGF,0.293417627,10.03060086
HTS,0.388182123,5.186809508
ACV,0.386954118,15.78370054
LNY,0.105263158,-5.377192982
KOA,0.259632825,2.159986729
LMT,0.344594595,16.12162162
CID,0.308283018,8.919338765
CRP,0.301359517,6.263227206
CHA,0.322610324,6.063549436
BET,0.412863071,10.01763485
MFE,0.304211843,5.273422296
SMF,0.404323483,8.675659738
CAK,0.325320553,8.613153339
FAR,0.292687063,7.78125636
YUM,0.285199337,4.26054358
ORH,0.362810811,5.128432432
CPR,0.309416304,5.701420245
IYK,0.171732523,-0.211246201
ART,0.27816092,17.57011494
GTF,0.25536951,2.695362497
PSC,0.334118593,5.26683521
OMA,0.344716802,8.107982922
LGB,0.318773311,6.360754248
ILE,0.183261803,1.889055794
MLU,0.340411125,7.516711004
SIT,0.357324571,11.48696205
TUS,0.354553408,6.472809369
ATW,0.33228863,11.35430029
MGM,0.328352523,8.378047748
JAC,0.441573777,13.43935386
SDF,0.375970318,8.014761367
OGG,0.289984073,3.497294672
ROA,0.392266014,7.830401544
CLD,0.312952732,4.323143033
GSO,0.390282641,8.111056564
MSO,0.327101124,5.97352809
ATL,0.505886264,10.80621854
PIA,0.325576809,9.862798265
AVL,0.332830947,7.17683999
SPI,0.307941303,13.25420803
BRD,0.286982249,4.079881657
ESC,0.175510204,10.58367347
OME,0.432547352,11.51436671
TLH,0.407281331,8.222906255
MCN,0.314020345,13.92746572
BWI,0.458429825,9.147044886
RST,0.237278761,5.091353245
SPS,0.189657866,2.274957038
MQT,0.291567088,12.93752134
LAN,0.298845576,7.270024512
CWA,0.351924448,13.90841055
CDC,0.254415475,3.913372582
FNT,0.347224777,8.098392614
HKY,0.25,6.833333333
ERI,0.443170873,6.999422077
EWN,0.270886076,7.24556962
SFO,0.464177369,12.09350458
ORD,0.528326459,13.81378773
BDL,0.403832807,7.124905078
JFK,0.451263161,12.14466545
MKG,0.283980583,7.449029126
JAN,0.35817456,7.350996713
COS,0.323496789,6.665061296
PAH,0.241176471,5.230588235
HHH,0.305882353,17.49117647
FLG,0.193402166,2.793502896
SYR,0.441398713,8.052723322
GTR,0.316561315,10.51504425
PLN,0.314763231,21.25626741
SPN,0.21414914,2.158426659
SNA,0.390811553,6.703246452
BUR,0.365552169,8.0550262
SBN,0.382874939,9.572286218
RIC,0.357658386,7.198246078
MFR,0.392034362,13.51243004
HNL,0.305206831,4.31500264
STX,0.306118654,5.842105263
GRB,0.271368288,7.330225887
INL,0.278688525,4.43852459
OGD,0.666666667,136.6666667
GEG,0.344086234,7.765865541
MAF,0.292619781,6.075759728
MHT,0.369640888,8.480217499
ABY,0.31227652,9.576877235
CLE,0.367050134,7.577219556
GPT,0.291334139,8.004232164
BMI,0.342824074,12.19050926
HDN,0.328438749,11.0349712
UTM,0.461538462,5.953846154
BUF,0.416578383,8.874457779
BKG,0.318622174,7.015069968
LAR,0.275985663,5.709677419
SCK,0.233151184,8.554644809
