origin,Year_props,Year_mean
PMD,1,7.091822562
ANC,1,6.853921033
ELP,1,6.371091411
RDR,0,-1.326086957
CAE,1,8.376946192
BNA,1,7.308514188
IMT,1,6.034429825
SGF,1,6.418434441
HTS,0.882352941,3.947058504
ACV,1,16.22733907
LNY,0,-4.951518507
KOA,0.888888889,4.212269404
LMT,1,10.9826556
CID,1,5.558208247
CRP,1,5.789271339
CHA,0.962962963,5.027293771
BET,0.925925926,7.920204212
MFE,1,4.604962432
SMF,1,6.852638281
CAK,1,5.501941848
FAR,0.962962963,3.892530617
YUM,1,2.989396059
ORH,1,4.72507295
CPR,0.947368421,3.224448359
IYK,0.363636364,-1.575957154
ART,1,17.25418349
MVY,1,24.54330296
PSC,0.925925926,2.796640157
GTF,0.62962963,2.911294422
FMN,1,212.75
LGB,1,4.440958882
OMA,1,6.226734996
ILE,0.75,1.46520779
MLU,1,7.597337034
SIT,1,8.254903586
TUS,1,5.176371374
ATW,1,5.677378886
MGM,1,7.23583516
JAC,1,7.866019305
SDF,1,7.123349334
OGG,1,4.359227016
ROA,1,7.216170264
CLD,0.909090909,3.609822896
GSO,1,7.475090632
MSO,1,4.042305613
ATL,1,9.892271336
PIA,1,6.159123911
AVL,0.925925926,6.354248933
SPI,0.923076923,8.150551225
BRD,0,-1.203187054
ESC,0.5,2.469317269
OME,1,9.427889965
TLH,1,7.384759193
MCN,0.857142857,11.52282618
BWI,1,9.033155104
RST,0.888888889,2.94364095
CWA,1,9.568778662
LAN,0.925925926,4.550730471
CDC,0.5,0.869046765
MQT,1,7.204467329
SPS,0.846153846,3.928106803
FNT,0.925925926,4.714681611
HKY,1,7.439826619
ERI,0.88,3.714611953
EWN,1,8.922231159
SFO,1,10.19550204
BDL,1,6.032128242
ORD,1,11.59333279
JFK,1,10.97111414
MKG,1,4.97420275
JAN,1,6.809645096
COS,1,5.381656113
PAH,1,5.829698
HHH,1,19.38066548
FLG,0.785714286,2.527487415
SYR,1,6.836320932
GTR,1,10.5198353
PLN,1,8.24153723
SPN,0.5,-0.030900998
SBN,1,6.112376859
BUR,1,6.428761727
SNA,1,5.919944274
MFR,1,11.32311569
RIC,1,6.745424129
HNL,1,4.843286359
STX,0.925925926,5.308069311
GRB,0.925925926,3.948750541
INL,0.75,2.078634459
OGD,0.666666667,98.83333333
GEG,1,5.627948387
MAF,1,5.58833414
MHT,1,7.499576225
ABY,1,9.36188345
CLE,1,6.379103446
GPT,0.857142857,4.768780175
BMI,1,8.524246898
HDN,1,9.651075301
UTM,0.5,5.617588933
BUF,1,7.461676584
BKG,1,6.007909849
APN,1,1.379716663
MWH,0,-3.017367278
DET,1,7.259010788
PWM,1,7.667018422
DRO,1,6.234769445
SAV,1,6.828140943
PBI,1,7.859220711
SOP,1,22.49940186
STT,1,6.578642081
MHK,1,8.634267892
MCI,1,7.134712308
ABI,0.928571429,6.579047739
MSN,1,5.139840998
ADQ,0.909090909,7.245538258
SCE,0.7,4.575153516
SLC,1,6.482664807
GJT,1,4.679849546
EKO,0.636363636,0.882448939
BRW,1,10.35815932
PIT,1,8.013594646
ABR,0.666666667,18.49198265
MLB,1,6.121805738
IAD,1,9.156833303
GCC,0.833333333,2.629541102
BIL,1,2.900162773
EWR,1,11.52943331
BOS,1,8.878089099
AVP,0.962962963,6.03724419
BTV,1,8.231536207
SUX,0.826086957,21.48911671
PVD,1,6.635298959
BQN,0.789473684,2.781112287
PFN,1,8.252377795
RNO,1,7.164987107
DTW,1,8.556342939
BGR,0.923076923,6.700105793
KSM,1,6.475184859
FOE,0,-1.315789474
XNA,1,9.736960118
TUL,1,6.402251827
DLG,0.909090909,9.830242377
BPT,0.75,4.283399701
DRT,1,1.192142857
CIU,1,4.109230769
LBB,1,6.238988738
RDM,1,6.384367349
WYS,0.272727273,-2.707211757
VLD,1,10.20130778
CEC,1,19.4968044
SAT,1,5.911672269
RHI,1,3.659974062
LIT,1,7.04226603
MDW,1,10.05337212
CMH,1,7.489836348
FAI,0.925925926,4.823819941
BFF,1,131
VPS,0.777777778,4.377180224
FAT,1,6.188604698
DAY,1,6.419167205
PSE,0.583333333,2.646195308
ISO,1,5.530506317
HIB,0,-5.643409464
HOB,1,6.878662198
DHN,1,10.90018485
LCH,1,2.814825624
CMX,1,8.896646721
PSP,1,6.380228113
PSG,1,11.23854066
DEN,1,9.39463532
MYR,0.962962963,4.811803509
CVG,1,7.658225483
ACY,0.944444444,10.50904463
ANI,1,7.474822345
TVC,0.96,6.911404775
DAL,1,8.451081656
FWA,1,5.407271457
TUP,0.6,4.156094673
KTN,0.888888889,7.300460223
MMH,1,13.34048451
RFD,1,6.137759258
ELM,0.954545455,3.33009933
ALB,1,6.850923836
AZA,1,1.422677737
AKN,0.863636364,8.951214905
ECP,1,8.566173384
SJT,0.75,3.44347526
BZN,1,4.175020105
DLH,1,3.791980117
GNV,1,8.715533488
GSP,1,5.810522907
OTH,1,26.78601628
IND,1,6.53075521
ILG,0.75,7.737641616
ROP,0.6,38.39174278
ROR,0.571428571,5.741107856
DSM,1,6.074903623
CLT,1,8.438488561
GRK,1,7.462491874
CMI,1,5.705828834
PIE,0.75,1.382162924
BQK,1,8.261283396
CCR,1,3.374681614
DAB,1,7.371579748
FSM,0.846153846,3.618089158
SRQ,1,5.772810361
GRI,1,4.80150657
LNK,1,7.571528602
JNU,1,10.31308854
ADK,0.909090909,14.83422247
SGU,0.818181818,2.442964247
ISN,1,11.10608837
LEX,1,6.857940323
PIH,0.363636364,-1.091757865
GLH,0,-5.5
MEI,1,10.59471942
LFT,0.888888889,4.489024993
AZO,0.925925926,3.190075612
GCN,1,4.673075616
TEX,0.833333333,6.515097919
BFL,1,4.812112236
GST,0.884615385,6.739781956
MAZ,0.5,2.656060606
FCA,0.814814815,7.058000356
MSY,1,6.732100168
LSE,0.888888889,2.681780786
YKM,1,4.386689412
SEA,1,7.69816898
MIA,1,9.789584488
RKS,1,2.586930983
PHL,1,10.1001772
COD,0.769230769,2.447824841
SMX,0.909090909,1.673653723
SLE,1,2.371695159
CYS,1,63.97951616
EYW,0.944444444,9.630837241
ABE,0.962962963,7.12176475
DUT,1,15.51979701
YAP,1,17.73004193
MEM,1,6.383241561
TXK,0.769230769,2.852954763
TWF,0.538461538,1.633280847
CHO,1,5.804946709
RDU,1,7.121651408
AEX,1,7.438967669
EGE,1,11.14656065
UCA,1,4.773925654
LAW,0.727272727,1.914702889
VIS,0.666666667,-0.202621128
DFW,1,9.399333233
PPG,1,55.76415094
PUB,1,18.03821526
TYR,0.846153846,3.30986846
RSW,1,6.428451252
ACK,1,20.43310494
SAF,1,8.477631215
DCA,1,5.665043392
MKC,1,8
HLN,0.740740741,2.739850343
BJI,0.666666667,1.671278995
CRW,1,7.042701044
HVN,0.888888889,6.58857134
LYH,1,7.442601125
GCK,1,4.474257562
GRR,1,5.647269516
BGM,0.96,4.855312822
YAK,0.814814815,6.430045917
PHX,1,8.344241538
FAY,0.961538462,6.215478012
BOI,1,6.072767069
LIH,0.565217391,1.011149858
SBA,0.962962963,8.576333108
GGG,0.615384615,2.936838026
BFI,1,28
GUM,0.818181818,7.137721457
VCT,1,2.116402148
LRD,1,5.382338939
DBQ,1,5.574742168
CHS,1,6.498300149
TPA,1,7.184531306
COU,1,10.67094889
BHM,1,6.545773942
ITH,0.947368421,2.656636758
ITO,0.153846154,-1.231013392
MRY,0.962962963,7.581694661
EAU,0.75,4.219337533
OAK,1,7.042718619
DIK,1,11.37435897
PHF,1,6.452153893
LWB,0.888888889,8.049957797
TRI,0.961538462,6.272635966
AMA,1,6.406219284
ACT,0.692307692,2.539529541
SAN,1,7.014100175
BTM,0.631578947,1.161733795
PIR,1,43.175
IPL,0.636363636,1.623036215
SJC,1,5.704587514
PNS,1,5.773173308
EFD,0.5,0.427491995
HOU,1,9.530434227
LAX,1,8.028679062
SBP,0.923076923,6.804389549
BTR,1,7.549330278
OXR,0.5,0.201227032
ABQ,1,6.827302832
TVL,1,4.695790657
TYS,1,5.842199062
MOB,1,6.849065627
TOL,1,6.02472771
ILM,0.925925926,4.679987292
GFK,0.925925926,2.200488156
TTN,1,8.877677969
BIS,0.888888889,2.715557224
MSP,1,7.235406523
SJU,1,7.597325089
MTJ,0.909090909,6.849874705
ORF,1,7.148382541
MLI,1,5.896298684
RAP,1,3.049871537
MKK,0,-3.15112782
PDX,1,6.328414568
ALO,0.888888889,6.242130039
ROW,1,6.527383947
EUG,1,8.756805269
AUS,1,5.887114003
SCC,1,7.175218805
FLO,1,11.5417504
EVV,1,5.66995147
FLL,1,8.965748341
SUN,0.692307692,3.26842352
ICT,1,5.74470282
MIB,0,-7.136363636
CSG,1,7.028860494
CDV,0.888888889,6.484017126
PVU,0,0
SWF,1,5.723407235
IAH,1,7.548860248
APF,1,7.290687962
MCO,1,7.742713305
MKE,1,5.66943092
IDA,0.869565217,2.664526426
FSD,0.962962963,5.539346446
CKB,1,53.05555556
SHD,1,12.44047619
HSV,1,5.24447871
MOD,1,12.58012134
AGS,1,8.182784188
SHV,0.962962963,5.82459688
ASE,1,10.57296888
MTH,1,15.96825397
BRO,0.904761905,2.854661633
MDT,1,5.584938028
ONT,1,6.087685002
JLN,1,8.241489795
OKC,1,6.225304672
WRG,0.962962963,8.830830482
BLI,0.857142857,2.555465654
MBS,0.962962963,3.94448318
OTZ,1,9.092219481
OAJ,1,6.611935966
HRL,1,6.315056244
GUC,0.925925926,8.33976307
MOT,0.925925926,2.519879125
ISP,1,6.099868537
ROC,1,7.482337581
LGA,1,8.298393777
CLL,0.846153846,3.288337246
JAX,1,6.843490133
LAR,0.5,1.914876842
SCK,1,5.946280279
RDD,1,13.36059315
CIC,1,12.227926
LWS,0.555555556,-0.220953069
STL,1,8.343700393
LAS,1,8.68561985
HPN,1,7.699540576
