"","origin","ave"
"1","PMD",5.7622061482821
"2","ANC",6.81885372898054
"3","ELP",6.28983108823482
"4","RDR",-1.32608695652174
"5","CAE",9.03317163681943
"6","BNA",7.40485742778355
"7","IMT",4.5948275862069
"8","SGF",8.37068615509541
"9","HTS",4.60992146448952
"10","ACV",14.6134401654174
"11","LNY",-4.5036231884058
"12","KOA",1.39844924440225
"13","LMT",11.7466802860061
"14","CID",6.06283747552718
"15","CRP",5.72353501697929
"16","CHA",5.94596756756757
"17","BET",7.99618672477372
"18","MFE",4.51491258141927
"19","SMF",7.0910317648355
"20","CAK",7.28216507639077
"21","FAR",4.54262154871817
"22","YUM",2.86676460903265
"23","ORH",4.36962962962963
"24","CPR",3.62612001086071
"25","IYK",-1.50642257509861
"26","MVY",23.2786885245902
"27","ART",12.5462382445141
"28","GTF",2.70758767758854
"29","PSC",2.42443348292104
"30","FMN",203.666666666667
"31","OMA",6.40678378604653
"32","LGB",4.7584335928285
"33","ILE",1.2957154648458
"34","MLU",7.69867904891522
"35","SIT",8.16664253655712
"36","TUS",5.13880283665986
"37","ATW",7.42423835726748
"38","MGM",7.91976643300786
"39","SDF",7.20196292661247
"40","JAC",7.04544553146483
"41","ROA",7.4897236950917
"42","OGG",2.48309376835526
"43","CLD",3.69632432867668
"44","GSO",7.32531139746628
"45","MSO",3.77773869488139
"46","ATL",10.2737574966348
"47","PIA",7.20656244522
"48","AVL",7.99748413360641
"49","SPI",9.62953151143335
"50","BRD",-0.775023832221163
"51","ESC",1.4263839811543
"52","OME",9.41663096397274
"53","TLH",6.9400136440799
"54","MCN",12.6573508005822
"55","BWI",9.35314519835733
"56","RST",3.20058944886531
"57","CWA",8.80733308427176
"58","LAN",4.45627508044975
"59","CDC",1.36799537839399
"60","SPS",2.72616330985217
"61","MQT",7.61685702199662
"62","FNT",5.70523705287665
"63","HKY",8.39838709677419
"64","ERI",4.4696106362773
"65","EWN",8.48135256091497
"66","SFO",10.292327279975
"67","BDL",6.06449325490604
"68","JFK",11.4054282620638
"69","ORD",11.8700080892626
"70","MKG",5.17321313586607
"71","JAN",6.92669046855276
"72","COS",5.52408390178841
"73","PAH",5.7764405543399
"74","HHH",19.7698504027618
"75","FLG",2.35857359635812
"76","SYR",6.66925216532156
"77","GTR",10.5192991586434
"78","PLN",6.52096342551294
"79","SPN",2.47240684793555
"80","SBN",7.0072891190716
"81","SNA",5.8230347352782
"82","BUR",6.44182333276834
"83","RIC",6.93715861471582
"84","MFR",10.5700926913297
"85","HNL",3.32635527917596
"86","STX",4.39749860486492
"87","GRB",4.9254132231405
"88","INL",2.50900473933649
"89","OGD",143.666666666667
"90","GEG",5.60072932499518
"91","MAF",5.55270721545031
"92","MHT",7.76217529154023
"93","ABY",9.37914283475672
"94","CLE",6.36582517583799
"95","GPT",7.39318693767866
"96","BMI",9.35011498850115
"97","HDN",8.63263782466895
"98","UTM",3.63235294117647
"99","BUF",7.60776271072378
"100","BKG",5.1063308849248
"101","APN",1.56327543424318
"102","MWH",-2.88989441930618
"103","DET",7.06925143953935
"104","PWM",7.85273232315185
"105","DRO",4.89515130065475
"106","SAV",7.44272095932364
"107","PBI",7.93819884414501
"108","SOP",25.2410423452769
"109","STT",6.10152499668479
"110","SLC",6.19260334565294
"111","ABR",1.81231231231231
"112","MLB",5.55731140025619
"113","GCC",2.25974790905878
"114","BOS",8.88456041225019
"115","EWR",11.7174467791983
"116","BIL",2.86051399724644
"117","BQN",4.23832690971125
"118","RNO",7.32275302782895
"119","BGR",7.75577154682544
"120","KSM",5.85106382978723
"121","BPT",3.46287553648069
"122","DRT",1.33766233766234
"123","CIU",4.10923076923077
"124","LBB",6.11700945501921
"125","RDM",5.31744796732153
"126","VLD",10.1296463444654
"127","RHI",3.20388349514563
"128","CEC",19.1933431679882
"129","CMH",7.59555549540527
"130","FAI",4.84578754885305
"131","MDW",11.033109443858
"132","DAY",6.699028926517
"133","PSE",1.15263866048737
"134","ISO",5.7409200968523
"135","DHN",10.8854685646501
"136","CMX",8.61075508498189
"137","PSG",11.2629882978122
"138","CVG",7.70208454133179
"139","MYR",5.65704128850317
"140","ANI",6.55555555555556
"141","TVC",8.09901047956679
"142","FWA",6.38294800605755
"143","KTN",7.3096883033419
"144","ELM",3.36273354654099
"145","AZA",1.06976744186047
"146","SJT",2.52257579553996
"147","GNV",8.66263418662263
"148","OTH",26.107257203842
"149","IND",6.49574125891341
"150","ILG",10.9791288566243
"151","ROP",-2.06294471811713
"152","DSM",6.39197765662201
"153","CMI",6.34397670246236
"154","BQK",8.21329976560465
"155","DAB",7.11313148280351
"156","ADK",14.570593962999
"157","PIH",-0.761678354926899
"158","GLH",-5.5
"159","GCN",4.23587642942482
"160","GST",6.79654859218892
"161","MAZ",4.30714285714286
"162","FCA",4.9186609489556
"163","YKM",3.55839217816404
"164","SEA",7.77162666506074
"165","PHL",10.3403892553441
"166","COD",1.69609014854021
"167","EYW",7.48057899330812
"168","ABE",7.78030114939171
"169","DUT",14.4461812425801
"170","YAP",19.0998573466476
"171","TXK",2.57342029679272
"172","CHO",5.55932720546169
"173","RDU",7.31920555119225
"174","EGE",10.2342388364685
"175","AEX",7.46398822663723
"176","UCA",4.69338897430266
"177","PUB",1.98666271487848
"178","RSW",6.52500752013409
"179","ACK",21.0895980362074
"180","SAF",8.16451233842538
"181","HLN",2.03970468550169
"182","BJI",1.80766852195424
"183","CRW",7.73276305634165
"184","GRR",5.88186406767841
"185","BGM",3.82851747603948
"186","BOI",6.12113231948591
"187","SBA",6.77789043681098
"188","GUM",3.66134247284014
"189","LRD",5.26426115691445
"190","CHS",7.02522914041191
"191","ITH",2.19386171331297
"192","MRY",6.76337485771428
"193","EAU",3.7768498737619
"194","DIK",11.374358974359
"195","LWB",9.35083880379285
"196","TRI",6.8310336401401
"197","AMA",6.34456633735378
"198","SAN",6.9207952285867
"199","BTM",0.973693416357658
"200","IPL",2.06920854997112
"201","PIR",31.8666666666667
"202","PNS",6.13610611244043
"203","SJC",5.86855488675976
"204","EFD",-0.653137593552101
"205","HOU",9.56362956139378
"206","LAX",7.9047385066394
"207","BTR",8.09990040157238
"208","SBP",6.84927777952607
"209","OXR",0.605764803388894
"210","ABQ",6.80889841572627
"211","TVL",4.29697167046565
"212","TYS",6.31379664818391
"213","MOB",6.91913914455874
"214","ILM",5.35040260203879
"215","TOL",5.20459600943286
"216","GFK",1.87658377831843
"217","TTN",9.44480286738351
"218","BIS",2.93385939296033
"219","MSP",7.23377106736465
"220","SJU",7.61617010989242
"221","MTJ",5.67500758265089
"222","ORF",7.17513611252235
"223","MLI",7.11954014258997
"224","RAP",3.56944480595539
"225","MKK",-2.96629213483146
"226","PDX",6.31231128669261
"227","ROW",5.54515550239234
"228","ALO",6.62432432432432
"229","EUG",7.91505476338086
"230","AUS",6.06334351070904
"231","SCC",6.71090372606876
"232","FLO",9.73485107839781
"233","EVV",6.20873113987399
"234","FLL",9.22710280939146
"235","SUN",0.9991050786785
"236","ICT",6.01546143802827
"237","MIB",-7.13636363636364
"238","CDV",6.53506861250272
"239","CSG",7.52498706291121
"240","PVU",0
"241","IAH",7.69655838353943
"242","SWF",5.44280664927688
"243","APF",7.95295902883156
"244","MCO",8.00322763195643
"245","MKE",6.22534559257064
"246","FSD",6.05262875371921
"247","IDA",2.06511158234878
"248","CKB",25.625
"249","HSV",5.59666602227609
"250","MOD",12.2887020028771
"251","SHD",13.6166666666667
"252","SHV",5.88496740505303
"253","ASE",10.5502948267348
"254","AGS",8.40087149144539
"255","MTH",15.968253968254
"256","BRO",3.64228044786351
"257","MDT",5.66621899808661
"258","ONT",6.04751557408934
"259","OKC",6.17944399367981
"260","WRG",8.79372448123497
"261","JLN",8.33382352941176
"262","BLI",3.58983852720354
"263","MBS",3.83473432106882
"264","OTZ",9.11987495491163
"265","OAJ",6.97581645307979
"266","GUC",7.943481337343
"267","HRL",6.10904357816511
"268","ISP",6.8808399419424
"269","MOT",2.65088416723783
"270","ROC",7.45933715696414
"271","LGA",8.41066657480349
"272","CLL",2.66902865022215
"273","JAX",7.04811502880353
"274","LAR",4.6675
"275","SCK",4.69412090959512
"276","RDD",12.0652150879424
"277","CIC",12.476980568012
"278","LWS",-0.205258833196385
"279","STL",8.46373047751697
"280","LAS",9.14029518847414
"281","HPN",8.39454672712334
"282","MHK",7.37497977018935
"283","MCI",7.12352196892054
"284","MSN",5.9280239612933
"285","ADQ",7.27235965746908
"286","ABI",4.31566078244275
"287","SCE",2.07645764576458
"288","GJT",4.6643534389057
"289","EKO",1.57965554359526
"290","BRW",10.1644552647596
"291","PIT",8.15648643418072
"292","IAD",9.67314134789981
"293","AVP",6.37978802697838
"294","BTV",8.53159494960085
"295","SUX",3.78275970950426
"296","PVD",6.86633114703999
"297","PFN",10.6922246220302
"298","DTW",8.73931469645782
"299","FOE",-1.31578947368421
"300","XNA",9.87895070384553
"301","TUL",6.35958912649304
"302","DLG",10.1902620258115
"303","WYS",-2.71535326086957
"304","SAT",5.98143537453304
"305","LIT",7.16777388750571
"306","BFF",131
"307","VPS",7.63038495510907
"308","FAT",6.19018824516951
"309","HIB",-5.72850678733032
"310","LCH",2.67357937103486
"311","HOB",7.09283276450512
"312","DEN",9.42137767980599
"313","PSP",6.38686817917162
"314","ACY",4.92645681094248
"315","DAL",8.68911808312087
"316","TUP",8.59967931587386
"317","RFD",2.34085510688836
"318","MMH",13.6836734693878
"319","ALB",6.85007851601786
"320","AKN",9.57299919159256
"321","ECP",8.66330879504068
"322","BZN",4.02637440969438
"323","DLH",3.82356815188264
"324","GSP",6.16065067630876
"325","ROR",6.30549038010324
"326","CLT",8.34818528770154
"327","GRK",6.89674931129477
"328","PIE",1.27059364933272
"329","CCR",3.04113051470588
"330","FSM",3.55810364628194
"331","SRQ",5.6626817768392
"332","JNU",10.385142068245
"333","LNK",7.552305358684
"334","GRI",4.79284037558685
"335","SGU",2.35423479943936
"336","ISN",9.01226734348562
"337","LEX",7.21423322120584
"338","MEI",10.8031283076561
"339","LFT",6.51227966549569
"340","AZO",3.66783513472158
"341","BFL",5.07722786942917
"342","TEX",6.73913043478261
"343","LSE",3.14191256830601
"344","MSY",6.64836997017733
"345","MIA",9.74512711533702
"346","RKS",2.43350987000481
"347","SLE",2.34886363636364
"348","SMX",1.7497629274279
"349","CYS",10.9769959404601
"350","MEM",6.38965721606986
"351","TWF",2.17032761477206
"352","LAW",1.70366003207245
"353","VIS",0.140997830802603
"354","DFW",9.42343087168233
"355","PPG",55.7641509433962
"356","TYR",2.39238542042584
"357","DCA",5.70309671102907
"358","MKC",8
"359","HVN",7.68720581942662
"360","LYH",6.6430979498861
"361","GCK",4.87600644122383
"362","YAK",6.47588090685605
"363","PHX",8.43650047489806
"364","FAY",6.51324026647919
"365","LIH",-0.0648244556138997
"366","GGG",1.82372188139059
"367","BFI",28
"368","VCT",2.40864773208987
"369","DBQ",5.70369464154637
"370","TPA",7.29944300186031
"371","COU",11.0298126064736
"372","BHM",6.73723403395638
"373","ITO",-1.29267243174215
"374","OAK",7.32011513282099
"375","PHF",8.46763152136538
"376","ACT",2.24663319786437
