"depdelay","month","year","origin"
14,9,2011,"ABE"
26,6,1996,"ABE"
-7,7,2012,"ABE"
-8,1,1997,"ABE"
6,12,1988,"ABE"
0,2,1993,"ABE"
-10,10,2012,"ABE"
-5,11,2007,"ABE"
-2,6,1994,"ABE"
-10,4,2004,"ABE"
13,7,2000,"ABE"
2,3,1992,"ABE"
4,2,1993,"ABE"
52,2,2010,"ABE"
2,4,1994,"ABE"
89,6,2010,"ABE"
0,6,1990,"ABE"
-8,7,2004,"ABE"
337,7,2006,"ABE"
-10,7,2006,"ABE"
61,5,2013,"ABE"
-5,4,1995,"ABE"
-1,1,1996,"ABE"
-2,10,1995,"ABE"
-5,5,1998,"ABE"
-9,4,2004,"ABE"
NA,9,2001,"ABE"
32,12,1995,"ABE"
-7,8,2002,"ABE"
-9,5,2009,"ABE"
-5,11,2009,"ABE"
-5,12,2008,"ABE"
4,10,1990,"ABE"
-3,5,1995,"ABE"
4,10,2010,"ABE"
-2,4,2008,"ABE"
NA,7,2000,"ABE"
89,3,2008,"ABE"
NA,6,2000,"ABE"
-11,12,2011,"ABE"
83,5,2004,"ABE"
-8,1,1998,"ABE"
1,12,1997,"ABE"
27,8,1992,"ABE"
-6,8,2007,"ABE"
-10,8,2011,"ABE"
18,12,2009,"ABE"
1,1,1992,"ABE"
11,6,2004,"ABE"
-7,7,2000,"ABE"
53,10,2013,"ABE"
-2,10,1997,"ABE"
NA,2,1992,"ABE"
-1,9,1998,"ABE"
1,9,1994,"ABE"
3,4,1996,"ABE"
-6,2,2012,"ABE"
-3,12,1997,"ABE"
-2,10,1994,"ABE"
-8,7,2005,"ABE"
-4,10,1999,"ABE"
-5,7,2008,"ABE"
0,11,1990,"ABE"
NA,6,1998,"ABE"
0,8,1999,"ABE"
-5,9,2005,"ABE"
-10,7,2009,"ABE"
63,8,2007,"ABE"
-5,3,2010,"ABE"
92,2,1997,"ABE"
NA,2,2007,"ABE"
-3,11,2007,"ABE"
0,4,2008,"ABE"
NA,4,1997,"ABE"
0,6,2012,"ABE"
6,9,1995,"ABE"
-11,4,2011,"ABE"
-3,7,1998,"ABE"
-1,4,1994,"ABE"
NA,7,2000,"ABE"
-1,5,2000,"ABE"
0,12,2002,"ABE"
0,9,1993,"ABE"
-5,9,2004,"ABE"
-7,11,2010,"ABE"
-5,10,2003,"ABE"
-1,10,1995,"ABE"
-5,11,2005,"ABE"
NA,9,2001,"ABE"
-4,4,1993,"ABE"
-6,11,2001,"ABE"
1,7,1995,"ABE"
17,8,1998,"ABE"
25,3,2003,"ABE"
-1,12,1998,"ABE"
-1,9,1989,"ABE"
-2,7,1992,"ABE"
5,1,2001,"ABE"
2,9,1991,"ABE"
-5,3,1989,"ABE"
14,2,1990,"ABE"
3,9,1995,"ABE"
0,2,2012,"ABE"
-2,6,2002,"ABE"
0,12,1991,"ABE"
8,7,1989,"ABE"
0,8,1988,"ABE"
-3,4,1994,"ABE"
-6,5,2000,"ABE"
-2,11,1999,"ABE"
-2,6,2003,"ABE"
-7,2,2002,"ABE"
-4,6,1999,"ABE"
0,1,2006,"ABE"
-5,3,1989,"ABE"
1,5,1999,"ABE"
-1,5,2003,"ABE"
1,11,1988,"ABE"
NA,10,1990,"ABE"
263,12,2004,"ABE"
42,5,2007,"ABE"
-11,7,2008,"ABE"
1,7,1993,"ABE"
-14,4,2005,"ABE"
0,1,1998,"ABE"
-4,9,2008,"ABE"
79,8,1990,"ABE"
0,12,2006,"ABE"
166,12,1998,"ABE"
8,7,1994,"ABE"
-5,7,2002,"ABE"
-3,7,2002,"ABE"
6,8,1990,"ABE"
0,9,2010,"ABE"
-10,1,2012,"ABE"
53,5,1996,"ABE"
1,9,1998,"ABE"
1,3,2011,"ABE"
-3,11,1989,"ABE"
16,5,2007,"ABE"
NA,9,1998,"ABE"
0,5,2013,"ABE"
-2,3,1995,"ABE"
-5,3,2002,"ABE"
-7,7,2013,"ABE"
0,9,1990,"ABE"
3,9,1993,"ABE"
-2,7,1991,"ABE"
-7,6,2004,"ABE"
1,8,2011,"ABE"
6,5,2009,"ABE"
-1,6,1998,"ABE"
-12,5,2012,"ABE"
-3,2,2003,"ABE"
-4,4,1996,"ABE"
-9,11,2013,"ABE"
4,5,1994,"ABE"
-7,4,2001,"ABE"
-2,1,1996,"ABE"
-3,12,1995,"ABE"
NA,5,1996,"ABE"
183,7,1988,"ABE"
-10,2,2007,"ABE"
-1,2,1992,"ABE"
-1,3,1991,"ABE"
-6,5,1998,"ABE"
22,2,2012,"ABE"
-2,1,1988,"ABE"
5,2,2006,"ABE"
2,2,1995,"ABE"
-1,6,1993,"ABE"
0,1,2007,"ABE"
-6,7,1998,"ABE"
2,7,1991,"ABE"
1,3,1988,"ABE"
-2,6,2008,"ABE"
-4,12,1996,"ABE"
NA,4,1997,"ABE"
-2,9,1988,"ABE"
-7,1,1998,"ABE"
0,11,1994,"ABE"
4,3,1989,"ABE"
NA,2,2008,"ABE"
5,9,1991,"ABE"
9,7,1995,"ABE"
30,1,2003,"ABE"
11,12,1997,"ABE"
-5,11,2010,"ABE"
-7,9,2011,"ABE"
-10,6,2007,"ABE"
-3,4,1997,"ABE"
-5,10,2000,"ABE"
-2,3,2013,"ABE"
1,8,1998,"ABE"
-3,12,1997,"ABE"
0,11,2004,"ABE"
46,1,2005,"ABE"
15,11,1990,"ABE"
47,9,2010,"ABE"
3,4,1996,"ABE"
-6,2,2002,"ABE"
-14,6,2012,"ABE"
107,5,2001,"ABE"
-3,9,2007,"ABE"
9,10,1994,"ABE"
-8,5,2010,"ABE"
60,1,1989,"ABE"
-5,6,2009,"ABE"
