"","origin","pop.spring","prob","sd","Lower0.95","Upper0.95","samp.size","p"
"1","ABE",0.267216674,0.269230769230769,0.0592732115670094,0.153057409311408,0.385404129150131,56,0.972893213508495
"2","ABI",0.212664065,0.25,0.0676252226000574,0.117456999257383,0.382543000742617,41,0.580879339422848
"3","ABQ",0.335238095,0.420289855072464,0.0594231073967889,0.303822704725302,0.536757005419626,69,0.152346826147615
"4","ABY",0.271249419,0.288135593220339,0.0589618482134346,0.17257249426009,0.403698692180588,59,0.774578257349985
"5","ACT",0.178136704,0.290322580645161,0.0790157981542961,0.135454462053055,0.445190699237268,33,0.155668692273507
"6","ACV",0.322782827,0.333333333333333,0.0624390541054463,0.210955036057911,0.455711630608756,57,0.865817979099702
"7","ACY",0.278745645,0.452380952380952,0.0768009837337565,0.301853790285543,0.602908114476362,42,0.0237687058426435
"8","ADQ",0.273500236,0.196969696969697,0.0482293289224944,0.102441949283072,0.291497444656322,68,0.112556821939887
"9","AEX",0.235642498,0.30188679245283,0.0624723875293557,0.179443162867064,0.424330422038597,54,0.288973037187827
"10","AGS",0.354686843,0.293103448275862,0.0582805280426393,0.178875712312312,0.407331184239412,61,0.290661366060481
"11","AKN",0.329223181,0.265625,0.0535598015656332,0.160649717912247,0.370600282087753,68,0.235060512283585
"12","ALB",0.325278486,0.279411764705882,0.0540183584533767,0.173537727633289,0.385285801778475,69,0.395828399196362
"13","ALO",0.211576846,0.241379310344828,0.0768566614910999,0.0907430218502853,0.39201559883937,31,0.698188591000216
"14","AMA",0.29484313,0.290909090909091,0.0606925789379113,0.171953822061931,0.409864359756251,56,0.948318024022652
"15","ANC",0.248567177,0.241935483870968,0.0535319276102893,0.137014833731795,0.34685613401014,64,0.901407952617345
"16","APF",0.257748777,0.178571428571429,0.0511795985911706,0.0782612585895173,0.27888159855334,56,0.121851422877204
"17","ASE",0.263018242,0.107142857142857,0.0574346000805962,0,0.219712604767287,29,0.00664835727083246
"18","ATL",0.464663594,0.492537313432836,0.0606271522734027,0.373710278491741,0.611364348373931,68,0.645691103416218
"19","ATW",0.215275961,0.234042553191489,0.0617590783208804,0.112996983964175,0.355088122418803,47,0.761228648225843
"20","AUS",0.316529546,0.333333333333333,0.0593913870916499,0.216928353641823,0.449738313024844,63,0.777228145591875
"21","AVL",0.326052572,0.267857142857143,0.0581481007306212,0.153888959655718,0.381825326058568,58,0.31691677429422
"22","AVP",0.305763874,0.352941176470588,0.065642499811859,0.224284240984167,0.481598111957009,53,0.472325427914761
"23","AZO",0.206054688,0.418604651162791,0.0743723429147478,0.272837537604022,0.564371764721559,44,0.00426432278412125
"24","BDL",0.334179876,0.339622641509434,0.0638576688472943,0.214463910432052,0.464781372586816,55,0.93207634479709
"25","BET",0.286643322,0.274509803921569,0.0618860882018964,0.153215299901783,0.395804307941355,52,0.844561539254192
"26","BFL",0.217929562,0.209302325581395,0.0620380344866582,0.0877100123158915,0.330894638846899,43,0.889399840652474
"27","BGM",0.27607362,0.295081967213115,0.0583950087467836,0.180629853192517,0.409534081233712,61,0.744792680353293
"28","BGR",0.27706575,0.350877192982456,0.063212588745565,0.226982795671607,0.474771590293306,57,0.242939905641219
"29","BHM",0.349889344,0.352941176470588,0.0575305466966854,0.240183376934185,0.465698976006991,69,0.957694327420254
"30","BIL",0.190412561,0.0612244897959184,0.033904587195584,0,0.127676259609961,50,0.000138774703631217
"31","BIS",0.171608773,0.177777777777778,0.0569937305531003,0.0660721185491212,0.289483437006434,45,0.913805268838232
"32","BKG",0.288861689,0.333333333333333,0.0718885154689589,0.192434432112123,0.474232234554543,43,0.536166989955322
"33","BLI",0.247455471,0.228070175438596,0.055575801012135,0.119143607042847,0.336996743834346,57,0.727233300863105
"34","BMI",0.252780586,0.209677419354839,0.0512870538396207,0.109156640956015,0.310198197753662,63,0.400667465673405
"35","BNA",0.363007585,0.338983050847458,0.0611110385671863,0.219207616197934,0.458758485496981,60,0.69422405288673
"36","BOI",0.232404045,0.3125,0.0669022530138809,0.181373993608207,0.443626006391793,48,0.231225245080887
"37","BOS",0.376337461,0.436619718309859,0.0580485082805844,0.322846732723639,0.55039270389608,73,0.299046301612953
"38","BPT",0.190092879,0.177777777777778,0.0563708295490428,0.0672929820830077,0.288262573472548,46,0.827066163033339
"39","BQK",0.233550979,0.236363636363636,0.0562724992458915,0.126071564521632,0.346655708205641,57,0.960136090716699
"40","BQN",0.244544771,0.291666666666667,0.0656057070405944,0.163081843686816,0.420251489646517,48,0.47259754760078
"41","BRO",0.199443414,0.189189189189189,0.0619266985804843,0.0678150902899722,0.310563288088406,40,0.868482377952069
"42","BRW",0.365073529,0.483870967741935,0.0629612950289376,0.360469097065217,0.607272838418654,63,0.0591828133445089
"43","BTM",0.169528842,0.1875,0.0679446633130761,0.0543309069646709,0.320669093035329,33,0.791396994464483
"44","BTR",0.360610697,0.475409836065574,0.0634232230589739,0.351102603086535,0.599717069044613,62,0.0702881946815732
"45","BTV",0.306117818,0.327868852459016,0.0601052175862099,0.210064790707101,0.445672914210931,61,0.717439737720078
"46","BUF",0.34677718,0.333333333333333,0.058025885318566,0.219604687937893,0.447061978728774,66,0.816781084001027
